RawFile	Condition	BioReplicate	Experiment	IsotopeLabelType	Run
20201005_OR14_UM8_4019253_SA_C-60-1	C_60	C_60-1	C_60-1	L	1
20201005_OR14_UM8_4019253_SA_C-60-2	C_60	C_60-2	C_60-2	L	2
20201005_OR14_UM8_4019253_SA_C-60-3	C_60	C_60-3	C_60-3	L	3
20201005_OR14_UM8_4019253_SA_2-60-1	2_60	2_60-1	2_60-1	L	4
20201005_OR14_UM8_4019253_SA_2-60-2	2_60	2_60-2	2_60-2	L	5
20201005_OR14_UM8_4019253_SA_2-60-3	2_60	2_60-3	2_60-3	L	6
20201005_OR14_UM8_4019253_SA_3-60-1	3_60	3_60-1	3_60-1	L	7
20201005_OR14_UM8_4019253_SA_3-60-2	3_60	3_60-2	3_60-2	L	8
20201005_OR14_UM8_4019253_SA_3-60-3	3_60	3_60-3	3_60-3	L	9
20201005_OR14_UM8_4019253_SA_4-60-1	4_60	4_60-1	4_60-1	L	10
20201005_OR14_UM8_4019253_SA_4-60-2	4_60	4_60-2	4_60-2	L	11
20201005_OR14_UM8_4019253_SA_4-60-3	4_60	4_60-3	4_60-3	L	12
20201005_OR14_UM8_4019253_SA_10-60-1	10_60	10_60-1	10_60-1	L	13
20201005_OR14_UM8_4019253_SA_10-60-2	10_60	10_60-2	10_60-2	L	14
20201005_OR14_UM8_4019253_SA_10-60-3	10_60	10_60-3	10_60-3	L	15
20201005_OR14_UM8_4019253_SA_19-60-1	19_60	19_60-1	19_60-1	L	16
20201005_OR14_UM8_4019253_SA_19-60-2	19_60	19_60-2	19_60-2	L	17
20201005_OR14_UM8_4019253_SA_19-60-3	19_60	19_60-3	19_60-3	L	18
20201005_OR14_UM8_4019253_SA_C-24-1	C_24	C_24-1	C_24-1	L	19
20201005_OR14_UM8_4019253_SA_C-24-2	C_24	C_24-2	C_24-2	L	20
20201005_OR14_UM8_4019253_SA_C-24-3	C_24	C_24-3	C_24-3	L	21
20201005_OR14_UM8_4019253_SA_2-24-1	2_24	2_24-1	2_24-1	L	22
20201005_OR14_UM8_4019253_SA_2-24-2	2_24	2_24-2	2_24-2	L	23
20201005_OR14_UM8_4019253_SA_2-24-3	2_24	2_24-3	2_24-3	L	24
20201005_OR14_UM8_4019253_SA_3-24-1	3_24	3_24-1	3_24-1	L	25
20201005_OR14_UM8_4019253_SA_3-24-2	3_24	3_24-2	3_24-2	L	26
20201005_OR14_UM8_4019253_SA_3-24-3	3_24	3_24-3	3_24-3	L	27
20201005_OR14_UM8_4019253_SA_4-24-1	4_24	4_24-1	4_24-1	L	28
20201005_OR14_UM8_4019253_SA_4-24-2	4_24	4_24-2	4_24-2	L	29
20201005_OR14_UM8_4019253_SA_4-24-3	4_24	4_24-3	4_24-3	L	30
20201005_OR14_UM8_4019253_SA_10-24-1	10_24	10_24-1	10_24-1	L	31
20201005_OR14_UM8_4019253_SA_10-24-2	10_24	10_24-2	10_24-2	L	32
20201005_OR14_UM8_4019253_SA_19-24-1	19_24	19_24-1	19_24-1	L	33
20201005_OR14_UM8_4019253_SA_19-24-2	19_24	19_24-2	19_24-2	L	34
20201005_OR14_UM8_4019253_SA_19-24-3	19_24	19_24-3	19_24-3	L	35
